data;turno;hora;seq;operacao;produto;bico;quantidade;deposito;pessoa;documento;tipo_doc;data_doc;tributacao;preco_unit;valor;vendedor;abastecimento;hora_abastec;usuario;estacao;empresa;mlid;grid;conta;nr_item;produto_kit;produto_kit_id;encerrante;valor_desconto;preco_unit_orig;orcamento_produto;ponto;cupom_produto;medicao_sugerida;comanda;comanda_produto;departamento;mesa_produto;tipo_desconto;obs;preco_unit_venda;motivo_inventario;abastecimento_manual;preco_unit_base;preco_unit_prazo;preco_unit_bico;dia_fiscal;cst_pis;cst_cofins;natureza_receita;preco_unit_fiscal;numero_pedido;numero_item_pedido;relevante
21/10/2012;1;21/10/2012 12:48;686;V;10333;15;28.23;532093;NULL;628301;ECF;21/10/2012;60;1.79;50.53;667274;237011;21/10/2012 12:40;VAGNER;USUARIO-PC.WORKGROUP;56730;42952019103;42952019107;1.1.2.13;NULL;NULL;NULL;584338.84;0;1.79;NULL;NULL;42952019105;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.79;NULL;NULL;0;0;0;21/10/2012;4;4;61;NULL;NULL;NULL;NULL
21/10/2012;2;21/10/2012 13:33;38;V;17179869356;NULL;1;534526;NULL;1;NULL;21/10/2012;60;4.8;4.8;NULL;NULL;NULL;IRANY;MICRO.STAELIZA;56730;42952019416;42952019433;1.1.2.05;NULL;NULL;NULL;NULL;0;4.8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.8;NULL;NULL;4.8;0;0;21/10/2012;4;4;51;NULL;NULL;NULL;NULL
21/10/2012;2;21/10/2012 16:05;215;V;10333;3;11.174;532080;NULL;628357;ECF;21/10/2012;60;1.79;20;NULL;237049;21/10/2012 13:32;ANTONIOCARLOS;USUARIO-PC.WORKGROUP;56730;42952020171;42952020175;1.1.2.13;NULL;NULL;NULL;570139.88;0;1.79;NULL;NULL;42952020173;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.79;NULL;NULL;0;0;0;21/10/2012;4;4;61;NULL;NULL;NULL;NULL
21/10/2012;2;21/10/2012 16:26;286;V;162752;NULL;1;534526;NULL;;;NULL;60;1.5;1.5;NULL;NULL;NULL;IRANY;MICRO.STAELIZA;56730;42952020416;42952020421;1.1.2.05;NULL;NULL;NULL;NULL;0;1.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.5;NULL;NULL;1.5;0;0;21/10/2012;4;4;142;NULL;NULL;NULL;NULL
03/09/2013;99;03/09/2013 08:42;31;I;892866;;0;57064;80371;;;NULL;;20;0;NULL;NULL;NULL;ANDRE;PRIME-ANDRE-PC.WORKGROUP;56730;5371274;5371275;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;10182;NULL;NULL;NULL;NULL;NULL;4;4;67;NULL;NULL;NULL;NULL
01/11/2012;2;01/11/2012 21:39;943;V;161025;NULL;1;534526;NULL;738426;ECF;01/11/2012;60;4;4;NULL;NULL;NULL;REGIANE;MICRO.STAELIZA;56730;42952163741;42952163746;1.1.2.05;NULL;NULL;NULL;NULL;0;4;NULL;NULL;42952163743;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4;NULL;NULL;4;0;0;01/11/2012;1;1;NULL;NULL;NULL;NULL;NULL
21/10/2012;2;21/10/2012 19:03;552;V;10334;8;32.542;532058;262697;628414;ECF;21/10/2012;60;2.92;95.02;219034;237305;21/10/2012 19:01;ANTONIOCARLOS;USUARIO-PC.WORKGROUP;56730;42952021277;42952021286;1.1.2.13;NULL;NULL;NULL;416724.81;0;2.92;NULL;NULL;42952021279;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.92;NULL;NULL;0;0;0;21/10/2012;4;4;51;NULL;NULL;NULL;NULL
21/10/2012;2;21/10/2012 19:16;565;V;144318;NULL;1;534526;NULL;;;NULL;60;1.5;1.5;NULL;NULL;NULL;IRANY;MICRO.STAELIZA;56730;42952021268;42952021306;1.1.2.05;NULL;NULL;NULL;NULL;0;1.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.5;NULL;NULL;1.5;0;0;21/10/2012;1;1;NULL;NULL;NULL;NULL;NULL
21/10/2012;2;21/10/2012 20:09;685;V;1830851;NULL;1;534526;NULL;1;NULL;21/10/2012;60;3;3;NULL;NULL;NULL;IRANY;MICRO.STAELIZA;56730;42952021893;42952021908;1.1.2.05;NULL;NULL;NULL;NULL;0;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;NULL;NULL;3;0;0;21/10/2012;4;4;667;NULL;NULL;NULL;NULL
21/10/2012;2;21/10/2012 20:29;795;V;10158;4;2.401;532054;NULL;628485;ECF;21/10/2012;60;2.92;7.01;NULL;237324;21/10/2012 19:20;ANTONIOCARLOS;USUARIO-PC.WORKGROUP;56730;42952022204;42952022392;1.1.2.13;NULL;NULL;NULL;461290.79;0;2.92;NULL;NULL;42952022233;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.92;NULL;NULL;0;0;0;21/10/2012;4;4;51;NULL;NULL;NULL;NULL
21/10/2012;2;21/10/2012 20:29;864;V;10333;24;5.749;532093;NULL;628485;ECF;21/10/2012;60;1.79;10.29;219034;237352;21/10/2012 19:41;ANTONIOCARLOS;USUARIO-PC.WORKGROUP;56730;42952022204;42952022461;1.1.2.13;NULL;NULL;NULL;537944.05;0;1.79;NULL;NULL;42952022330;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.79;NULL;NULL;0;0;0;21/10/2012;4;4;61;NULL;NULL;NULL;NULL
21/10/2012;2;21/10/2012 20:56;902;V;10158;23;6.85;532055;NULL;628488;NULL;21/10/2012;60;2.92;20;219002;237434;21/10/2012 20:48;ANTONIOCARLOS;USUARIO-PC.WORKGROUP;56730;42952022598;42952022604;1.1.2.13;NULL;NULL;NULL;358375.42;0;2.92;NULL;NULL;42952022601;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.92;NULL;NULL;0;0;0;21/10/2012;4;4;51;NULL;NULL;NULL;NULL
22/10/2012;1;22/10/2012 08:22;102;V;10158;7;6.85;532054;NULL;665198;ECF;22/10/2012;60;2.92;20;964452;237481;22/10/2012 06:04;BRUNOR;CAIXA_GNV.STAELISA;56730;42952023465;42952023497;1.1.2.04;NULL;NULL;NULL;209703.89;0;2.92;NULL;NULL;42952023494;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.92;NULL;NULL;0;0;0;22/10/2012;4;4;51;NULL;NULL;NULL;NULL
22/10/2012;1;22/10/2012 09:00;204;V;10158;1;3.425;532054;NULL;665229;ECF;22/10/2012;60;2.92;10;NULL;237812;22/10/2012 07:58;BRUNOR;CAIXA_GNV.STAELISA;56730;42952024177;42952024181;1.1.2.04;NULL;NULL;NULL;468886.17;0;2.92;NULL;NULL;42952024179;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.92;NULL;NULL;0;0;0;22/10/2012;4;4;51;NULL;NULL;NULL;NULL
22/10/2012;1;22/10/2012 09:07;240;V;532149;28;8.043;532153;NULL;665236;ECF;22/10/2012;60;1.89;15.2;NULL;237747;22/01/2012 08:22;BRUNOR;CAIXA_GNV.STAELISA;56730;42952024325;42952024390;1.1.2.04;NULL;NULL;NULL;462441.98;0;1.89;NULL;NULL;42952024379;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.89;NULL;NULL;0;0;0;22/10/2012;1;1;NULL;NULL;NULL;NULL;NULL
22/10/2012;1;22/10/2012 09:08;251;V;532149;26;10.598;532152;NULL;665238;ECF;22/10/2012;60;1.89;20.03;NULL;237699;22/01/2012 06:23;BRUNOR;CAIXA_GNV.STAELISA;56730;42952024423;42952024432;1.1.2.04;NULL;NULL;NULL;527933.72;0;1.89;NULL;NULL;42952024427;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.89;NULL;NULL;0;0;0;22/10/2012;1;1;NULL;NULL;NULL;NULL;NULL
22/10/2012;1;22/10/2012 11:08;485;V;10333;15;52.19;532093;NULL;628631;ECF;22/10/2012;60;1.79;93.42;42949697144;237981;22/10/2012 10:06;VAGNER;USUARIO-PC.WORKGROUP;56730;42952025757;42952025766;1.1.2.03;NULL;NULL;NULL;585549.4;0;1.79;NULL;NULL;42952025764;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.79;NULL;NULL;0;0;0;22/10/2012;4;4;61;NULL;NULL;NULL;NULL
22/10/2012;1;22/10/2012 11:32;537;V;10333;21;5.587;532093;NULL;628640;ECF;22/10/2012;60;1.79;10;1978886;237902;22/10/2012 09:14;VAGNER;USUARIO-PC.WORKGROUP;56730;42952025976;42952025994;1.1.2.03;NULL;NULL;NULL;461044.62;0;1.79;NULL;NULL;42952025984;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.79;NULL;NULL;0;0;0;22/10/2012;4;4;61;NULL;NULL;NULL;NULL
22/10/2012;1;22/10/2012 14:01;752;V;10333;3;16.76;532080;NULL;665373;ECF;22/10/2012;60;1.79;30;NULL;238197;22/10/2012 12:38;BRUNOR;CAIXA_GNV.STAELISA;56730;42952027861;42952027865;1.1.2.04;NULL;NULL;NULL;571366.94;0;1.79;NULL;NULL;42952027863;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.79;NULL;NULL;0;0;0;22/10/2012;4;4;61;NULL;NULL;NULL;NULL
22/10/2012;2;22/10/2012 14:41;135;V;10963;NULL;1;57064;NULL;628793;ECF;22/10/2012;60;20;20;219025;NULL;NULL;EDINEIS;USUARIO-PC.WORKGROUP;56730;42952028521;42952028526;1.1.2.03;NULL;NULL;NULL;NULL;0;20;NULL;NULL;42952028524;NULL;NULL;NULL;NULL;NULL;NULL;NULL;20;NULL;NULL;20;0;0;22/10/2012;4;4;51;NULL;NULL;NULL;NULL
22/10/2012;1;22/10/2012 14:56;816;V;17179869762;NULL;1;534526;NULL;;;NULL;60;1.5;1.5;NULL;NULL;NULL;MARCILENE;MICRO.STAELIZA;56730;42952028574;42952028615;1.1.2.05;NULL;NULL;NULL;NULL;0;1.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.5;NULL;NULL;1.5;0;0;22/10/2012;4;4;663;NULL;NULL;NULL;NULL
22/10/2012;1;22/10/2012 14:56;817;V;17179869762;NULL;1;534526;NULL;;;NULL;60;1.5;1.5;NULL;NULL;NULL;MARCILENE;MICRO.STAELIZA;56730;42952028574;42952028616;1.1.2.05;NULL;NULL;NULL;NULL;0;1.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.5;NULL;NULL;1.5;0;0;22/10/2012;4;4;663;NULL;NULL;NULL;NULL
22/10/2012;2;22/10/2012 15:13;172;V;17179869726;NULL;1;534526;NULL;;;NULL;60;2.5;2.5;NULL;NULL;NULL;CRISTIANE;MICRO.STAELIZA;56730;42952028857;42952028907;1.1.2.05;NULL;NULL;NULL;NULL;0;2.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.5;NULL;NULL;2.5;0;0;22/10/2012;4;4;658;NULL;NULL;NULL;NULL
22/10/2012;2;22/10/2012 16:02;262;V;10334;14;25.685;532058;541372;628859;ECF;22/10/2012;60;2.92;75;1660381;238375;22/10/2012 15:01;EDINEIS;USUARIO-PC.WORKGROUP;56730;42952029484;42952029492;1.1.2.03;NULL;NULL;NULL;439552.96;0;2.92;NULL;NULL;42952029486;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.92;NULL;NULL;0;0;0;22/10/2012;4;4;51;NULL;NULL;NULL;NULL
22/10/2012;2;22/10/2012 16:40;349;V;10333;18;16.76;532093;NULL;628901;ECF;22/10/2012;60;1.79;30;219034;238433;22/10/2012 15:38;EDINEIS;USUARIO-PC.WORKGROUP;56730;42952030043;42952030047;1.1.2.03;NULL;NULL;NULL;567187.8;0;1.79;NULL;NULL;42952030045;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.79;NULL;NULL;0;0;0;22/10/2012;4;4;61;NULL;NULL;NULL;NULL
22/10/2012;2;22/10/2012 18:55;602;V;17179869363;NULL;1;534526;NULL;;;NULL;60;6;6;NULL;NULL;NULL;CRISTIANE;MICRO.STAELIZA;56730;42952031777;42952031779;1.1.2.05;NULL;NULL;NULL;NULL;0;6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6;NULL;NULL;6;0;0;22/10/2012;4;4;658;NULL;NULL;NULL;NULL
22/10/2012;3;22/10/2012 21:56;83;V;10158;23;17.124;532055;NULL;629091;ECF;22/10/2012;60;2.92;50;1660381;238909;22/10/2012 20:55;ANTONIOCARLOS;USUARIO-PC.WORKGROUP;56730;42952033584;42952033601;1.1.2.03;NULL;NULL;NULL;359011.08;0;2.92;NULL;NULL;42952033587;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.92;NULL;NULL;0;0;0;22/10/2012;4;4;51;NULL;NULL;NULL;NULL
22/10/2012;2;22/10/2012 23:14;935;V;160909;NULL;4;534526;NULL;;;NULL;60;3;12;NULL;NULL;NULL;CRISTIANE;MICRO.STAELIZA;56730;42952034521;42952034523;1.1.2.05;NULL;NULL;NULL;NULL;0;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;NULL;NULL;3;0;0;22/10/2012;1;1;NULL;NULL;NULL;NULL;NULL
23/10/2012;1;23/10/2012 09:01;250;V;17179869363;NULL;1;534526;NULL;1;NULL;23/10/2012;60;6;6;NULL;NULL;NULL;IRANY;MICRO.STAELIZA;56730;42952036555;42952036579;1.1.2.05;NULL;NULL;NULL;NULL;0;6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6;NULL;NULL;6;0;0;23/10/2012;4;4;658;NULL;NULL;NULL;NULL
23/10/2012;1;23/10/2012 09:23;286;V;151074;NULL;4;534526;NULL;;;NULL;60;4.8;19.2;NULL;NULL;NULL;IRANY;MICRO.STAELIZA;56730;42952036599;42952036815;1.1.2.05;NULL;NULL;NULL;NULL;0;4.8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.8;NULL;NULL;4.8;0;0;23/10/2012;5;5;289;NULL;NULL;NULL;NULL
23/10/2012;1;23/10/2012 09:26;318;V;10334;14;14.874;532058;NULL;629291;ECF;23/10/2012;60;2.92;43.43;218975;239117;23/10/2012 07:03;LEONARDO;USUARIO-PC.WORKGROUP;56730;42952037003;42952037007;1.1.2.03;NULL;NULL;NULL;439883.99;0;2.92;NULL;NULL;42952037005;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.92;NULL;NULL;0;0;0;23/10/2012;4;4;51;NULL;NULL;NULL;NULL
23/10/2012;1;23/10/2012 10:13;395;V;17179869726;NULL;3;534526;NULL;;;NULL;60;2.5;7.5;NULL;NULL;NULL;IRANY;MICRO.STAELIZA;56730;42952037565;42952037609;1.1.2.05;NULL;NULL;NULL;NULL;0;2.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.5;NULL;NULL;2.5;0;0;23/10/2012;4;4;658;NULL;NULL;NULL;NULL
23/10/2012;1;23/10/2012 10:59;489;V;10334;11;2.055;532058;NULL;629384;ECF;23/10/2012;60;2.92;6;964452;239376;23/10/2012 09:57;LEONARDO;USUARIO-PC.WORKGROUP;56730;42952038336;42952038340;1.1.2.03;NULL;NULL;NULL;466530.49;0;2.92;NULL;NULL;42952038338;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.92;NULL;NULL;0;0;0;23/10/2012;4;4;51;NULL;NULL;NULL;NULL
23/10/2012;1;23/10/2012 11:09;518;V;10333;15;37.459;532093;254240;629392;ECF;23/10/2012;60;1.79;67.05;964452;239387;23/10/2012 10:09;LEONARDO;USUARIO-PC.WORKGROUP;56730;42952038432;42952038440;1.1.2.03;NULL;NULL;NULL;587140.47;0;1.79;NULL;NULL;42952038434;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.79;NULL;NULL;0;0;0;23/10/2012;4;4;61;NULL;NULL;NULL;NULL
31/10/2012;1;31/10/2012 15:23;916;E;10965;;24;57064;42950431590;111788;;30/10/2012;60;9.85;236.4;NULL;NULL;NULL;AZILZANA;RECEPCAO.MSHOME;56730;2228866;2228884;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;73;73;NULL;NULL;NULL;NULL;NULL
23/10/2012;1;23/10/2012 12:55;665;V;532149;26;7.381;532152;NULL;665793;ECF;23/10/2012;60;1.89;13.95;NULL;239384;23/01/2012 11:07;CLOVES;CAIXA_GNV.STAELISA;56730;42952039625;42952039637;1.1.2.04;NULL;NULL;NULL;528483.34;0;1.89;NULL;NULL;42952039630;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.89;NULL;NULL;0;0;0;23/10/2012;1;1;NULL;NULL;NULL;NULL;NULL
23/10/2012;2;23/10/2012 13:24;66;V;10334;17;0.37;532058;NULL;629500;ECF;23/10/2012;60;2.92;1.08;218950;239555;23/10/2012 13:03;EDINEIS;USUARIO-PC.WORKGROUP;56730;42952040064;42952040093;1.1.2.03;NULL;NULL;NULL;401925.39;0;2.92;NULL;NULL;42952040070;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.92;NULL;NULL;0;0;0;23/10/2012;4;4;51;NULL;NULL;NULL;NULL
23/10/2012;2;23/10/2012 13:31;78;V;10335;22;115.919;532056;256282;629502;ECF;23/10/2012;60;2.38;275.89;219049;239498;23/10/2012 11:17;EDINEIS;USUARIO-PC.WORKGROUP;56730;42952040154;42952040164;1.1.2.03;NULL;NULL;NULL;939256.4;8.11;2.45;NULL;NULL;42952040156;NULL;NULL;NULL;NULL;NULL;A;NULL;2.45;NULL;NULL;0;0;0;23/10/2012;4;4;52;NULL;NULL;NULL;NULL
23/10/2012;1;23/10/2012 14:20;761;V;10334;8;5.822;532058;NULL;665823;ECF;23/10/2012;60;2.92;17;1978886;239649;23/10/2012 14:17;JUCINEY;CAIXA_GNV.STAELISA;56730;42952040694;42952040733;1.1.2.04;NULL;NULL;NULL;417856.96;0;2.92;NULL;NULL;42952040731;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.92;NULL;NULL;0;0;0;23/10/2012;4;4;51;NULL;NULL;NULL;NULL
23/10/2012;1;23/10/2012 14:49;805;V;10158;1;1.37;532054;NULL;665840;ECF;23/10/2012;60;2.92;4;NULL;239694;23/10/2012 14:47;JUCINEY;CAIXA_GNV.STAELISA;56730;42952041147;42952041151;1.1.2.04;NULL;NULL;NULL;469944.1;0;2.92;NULL;NULL;42952041149;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.92;NULL;NULL;0;0;0;23/10/2012;4;4;51;NULL;NULL;NULL;NULL
23/10/2012;2;23/10/2012 15:39;239;V;10333;12;5.587;532080;NULL;629618;ECF;23/10/2012;60;1.79;10;219002;239775;23/10/2012 15:38;EDINEIS;USUARIO-PC.WORKGROUP;56730;42952041865;42952041871;1.1.2.03;NULL;NULL;NULL;693389.19;0;1.79;NULL;NULL;42952041868;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.79;NULL;NULL;0;0;0;23/10/2012;4;4;61;NULL;NULL;NULL;NULL
23/10/2012;2;23/10/2012 16:41;354;V;165278;NULL;1;534526;NULL;;;NULL;60;1;1;NULL;NULL;NULL;CRISTIANE;MICRO.STAELIZA;56730;42952042430;42952042536;1.1.2.05;NULL;NULL;NULL;NULL;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;0;0;23/10/2012;1;1;NULL;NULL;NULL;NULL;NULL
23/10/2012;2;23/10/2012 17:59;537;V;42951579055;NULL;1;534526;NULL;;;NULL;60;1.8;1.8;NULL;NULL;NULL;CRISTIANE;MICRO.STAELIZA;56730;42952043627;42952043631;1.1.2.05;NULL;NULL;NULL;NULL;0;1.8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.8;NULL;NULL;1.8;0;0;23/10/2012;1;1;NULL;NULL;NULL;NULL;NULL
23/10/2012;2;23/10/2012 18:45;649;V;10158;1;0.48;532054;NULL;665939;ECF;23/10/2012;60;2.92;1.4;NULL;240070;23/10/2012 18:39;HELIO;CAIXA_GNV.STAELISA;56730;42952044431;42952044459;1.1.2.04;NULL;NULL;NULL;470116.49;0;2.92;NULL;NULL;42952044439;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.92;NULL;NULL;0;0;0;23/10/2012;4;4;51;NULL;NULL;NULL;NULL
23/10/2012;3;23/10/2012 19:11;61;V;10333;18;16.76;532093;NULL;629815;ECF;23/10/2012;60;1.79;30;1660381;240111;23/10/2012 19:09;ANTONIOCARLOS;USUARIO-PC.WORKGROUP;56730;42952044783;42952044788;1.1.2.03;NULL;NULL;NULL;569151.94;0;1.79;NULL;NULL;42952044786;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.79;NULL;NULL;0;0;0;23/10/2012;4;4;61;NULL;NULL;NULL;NULL
23/10/2012;3;23/10/2012 19:20;69;V;10158;13;3.425;532055;NULL;629820;NULL;23/10/2012;60;2.92;10;1660381;240119;23/10/2012 19:15;ANTONIOCARLOS;USUARIO-PC.WORKGROUP;56730;42952044845;42952044865;1.1.2.03;NULL;NULL;NULL;232916.67;0;2.92;NULL;NULL;42952044854;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.92;NULL;NULL;0;0;0;23/10/2012;4;4;51;NULL;NULL;NULL;NULL
23/10/2012;2;23/10/2012 20:53;793;V;165825;NULL;1;534526;NULL;;;NULL;60;2.5;2.5;NULL;NULL;NULL;CRISTIANE;MICRO.STAELIZA;56730;42952045639;42952045642;1.1.2.05;NULL;NULL;NULL;NULL;0;2.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.5;NULL;NULL;2.5;0;0;23/10/2012;1;1;NULL;NULL;NULL;NULL;NULL
23/10/2012;2;23/10/2012 21:22;819;V;148639;NULL;2;534526;NULL;;;NULL;60;5.5;11;NULL;NULL;NULL;CRISTIANE;MICRO.STAELIZA;56730;42952045843;42952045887;1.1.2.05;NULL;NULL;NULL;NULL;0;5.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;5.5;NULL;NULL;5.5;0;0;23/10/2012;4;4;658;NULL;NULL;NULL;NULL
